"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Annapolis Valley, Nova Scotia","2016S05001230","Both sexes","All ages","Persons","249","units","0","v1061308081","11.1.1","131708","","","","0"
"2014","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","115240","","","","0"
"2015","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","114761","","","","0"
"2016","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","115002","","","","0"
"2017","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","115027","","","","0"
"2018","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","114798","","","","0"
"2019","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","114746","","","","0"
"2020","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","114913","","","","0"
"2021","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","115646","","","","0"
"2022","Southern, Nova Scotia","2016S05001240","Both sexes","All ages","Persons","249","units","0","v1061308411","12.1.1","117608","","","","0"
"2014","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","407059","","","","0"
"2015","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","408017","","","","0"
"2016","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","414008","","","","0"
"2017","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","421705","","","","0"
"2018","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","429888","","","","0"
"2019","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","439817","","","","0"
"2020","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","450893","","","","0"
"2021","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","459837","","","","0"
